epoch,bucket,eth
411439,chronic,65652.0
411439,desynced,376568.0
411439,silent,1934656.0
411439,uncollected,1138638.0
411439,wrong-target,135622.0
411440,chronic,66004.0
411440,desynced,703421.0
411440,silent,6318101.0
411440,uncollected,285957.0
411440,wrong-target,203562.0
411441,chronic,66644.0
411441,desynced,1590869.0
411441,silent,6572647.0
411441,uncollected,233790.0
411441,wrong-target,12857.0
411442,chronic,67252.0
411442,desynced,1891892.0
411442,silent,6369822.0
411442,uncollected,74459.0
411442,wrong-target,56244.0
411443,chronic,67283.0
411443,desynced,1471485.0
411443,silent,6664986.0
411443,uncollected,208883.0
411443,wrong-target,6650.0
411444,chronic,67444.0
411444,desynced,1065796.0
411444,silent,6956864.0
411444,uncollected,166935.0
411444,wrong-target,65531.0
411445,chronic,67284.0
411445,desynced,1026924.0
411445,silent,6397287.0
411445,uncollected,286481.0
411445,wrong-target,186111.0
411446,chronic,67188.0
411446,desynced,987833.0
411446,silent,5555421.0
411446,uncollected,687545.0
411446,wrong-target,268502.0
411447,chronic,67028.0
411447,desynced,833386.0
411447,silent,6533549.0
411447,uncollected,296733.0
411447,wrong-target,146142.0
411448,chronic,67316.0
411448,desynced,930401.0
411448,silent,6275105.0
411448,uncollected,333081.0
411448,wrong-target,306135.0
411449,chronic,67284.0
411449,desynced,1742470.0
411449,silent,6316349.0
411449,uncollected,52440.0
411449,wrong-target,35799.0
411450,chronic,66900.0
411450,desynced,750459.0
411450,silent,7056644.0
411450,uncollected,130339.0
411450,wrong-target,22571.0
411451,chronic,67284.0
411451,desynced,1217953.0
411451,silent,6778909.0
411451,uncollected,41568.0
411451,wrong-target,12567.0
411452,chronic,67156.0
411452,desynced,723274.0
411452,silent,6911966.0
411452,uncollected,329188.0
411452,wrong-target,25158.0
411453,chronic,66932.0
411453,desynced,1089513.0
411453,silent,6882566.0
411453,uncollected,63011.0
411453,wrong-target,18783.0
411454,chronic,67252.0
411454,desynced,651145.0
411454,silent,6783799.0
411454,uncollected,292886.0
411454,wrong-target,35016.0
411455,chronic,67253.0
411455,desynced,1809479.0
411455,silent,5983071.0
411455,uncollected,98896.0
411455,wrong-target,41382.0
411456,chronic,66996.0
411456,desynced,406267.0
411456,silent,6917002.0
411456,uncollected,289320.0
411456,wrong-target,22306.0
411457,chronic,67508.0
411457,desynced,870836.0
411457,silent,5177518.0
411457,uncollected,393053.0
411457,wrong-target,133586.0
411458,chronic,67060.0
411458,desynced,556340.0
411458,silent,4602949.0
411458,uncollected,527436.0
411458,wrong-target,163569.0
411459,chronic,67893.0
411459,desynced,1285243.0
411459,silent,4456069.0
411459,uncollected,330677.0
411459,wrong-target,68716.0
411460,chronic,67317.0
411460,desynced,644180.0
411460,silent,4508628.0
411460,uncollected,417677.0
411460,wrong-target,120895.0
411461,chronic,66933.0
411461,desynced,895373.0
411461,silent,3894680.0
411461,uncollected,111981.0
411461,wrong-target,134892.0
411462,chronic,66709.0
411462,desynced,665846.0
411462,silent,3917391.0
411462,uncollected,155042.0
411462,wrong-target,92709.0
411463,chronic,66805.0
411463,desynced,761921.0
411463,silent,3781372.0
411463,uncollected,54418.0
411463,wrong-target,71862.0
411464,chronic,66933.0
411464,desynced,445991.0
411464,silent,3978504.0
411464,uncollected,128334.0
411464,wrong-target,55750.0
411465,chronic,66933.0
411465,desynced,899553.0
411465,silent,2896010.0
411465,uncollected,108415.0
411465,wrong-target,71867.0
411466,chronic,66741.0
411466,desynced,399613.0
411466,silent,3002808.0
411466,uncollected,264889.0
411466,wrong-target,118485.0
411467,chronic,66836.0
411467,desynced,1094463.0
411467,silent,2141199.0
411467,uncollected,295239.0
411467,wrong-target,105585.0
411468,chronic,66900.0
411468,desynced,601038.0
411468,silent,2306162.0
411468,uncollected,804690.0
411468,wrong-target,230834.0
411469,chronic,66612.0
411469,desynced,942080.0
411469,silent,1840082.0
411469,uncollected,419130.0
411469,wrong-target,176806.0
411470,chronic,66804.0
411470,desynced,475654.0
411470,silent,1958939.0
411470,uncollected,425295.0
411470,wrong-target,427921.0
411471,chronic,66644.0
411471,desynced,598159.0
411471,silent,1610946.0
411471,uncollected,122682.0
411471,wrong-target,200565.0
411472,chronic,66676.0
411472,desynced,934494.0
411472,silent,1306886.0
411472,uncollected,86368.0
411472,wrong-target,111301.0
411473,chronic,66708.0
411473,desynced,768482.0
411473,silent,1540360.0
411473,uncollected,109406.0
411473,wrong-target,111224.0
411474,chronic,66740.0
411474,desynced,492520.0
411474,silent,1703979.0
411474,uncollected,68975.0
411474,wrong-target,100658.0
411475,chronic,66580.0
411475,desynced,527832.0
411475,silent,1387893.0
411475,uncollected,85781.0
411475,wrong-target,38257.0
411476,chronic,66388.0
411476,desynced,125676.0
411476,silent,968240.0
411476,uncollected,295457.0
411476,wrong-target,123657.0
411477,chronic,66516.0
411477,desynced,339387.0
411477,silent,1022427.0
411477,uncollected,169286.0
411477,wrong-target,229648.0
411478,chronic,66740.0
411478,desynced,443919.0
411478,silent,1263907.0
411478,uncollected,46776.0
411478,wrong-target,63717.0
411479,chronic,66708.0
411479,desynced,297869.0
411479,silent,1345319.0
411479,uncollected,72085.0
411479,wrong-target,27157.0
411480,chronic,66579.0
411480,desynced,156056.0
411480,silent,923392.0
411480,uncollected,198541.0
411480,wrong-target,106081.0
