epoch,desynced_eth,silent_eth,uncollected_eth
411439,376568.0,1934656.0,1138638.0
411440,703421.0,6318101.0,285957.0
411441,1590869.0,6572647.0,233790.0
411442,1891892.0,6369822.0,74459.0
411443,1471485.0,6664986.0,208883.0
411444,1065796.0,6956864.0,166935.0
411445,1026924.0,6397287.0,286481.0
411446,987833.0,5555421.0,687545.0
411447,833386.0,6533549.0,296733.0
411448,930401.0,6275105.0,333081.0
411449,1742470.0,6316349.0,52440.0
411450,750459.0,7056644.0,130339.0
411451,1217953.0,6778909.0,41568.0
411452,723274.0,6911966.0,329188.0
411453,1089513.0,6882566.0,63011.0
411454,651145.0,6783799.0,292886.0
411455,1809479.0,5983071.0,98896.0
411456,406267.0,6917002.0,289320.0
411457,870836.0,5177518.0,393053.0
411458,556340.0,4602949.0,527436.0
411459,1285243.0,4456069.0,330677.0
411460,644180.0,4508628.0,417677.0
411461,895373.0,3894680.0,111981.0
411462,665846.0,3917391.0,155042.0
411463,761921.0,3781372.0,54418.0
411464,445991.0,3978504.0,128334.0
411465,899553.0,2896010.0,108415.0
411466,399613.0,3002808.0,264889.0
411467,1094463.0,2141199.0,295239.0
411468,601038.0,2306162.0,804690.0
411469,942080.0,1840082.0,419130.0
411470,475654.0,1958939.0,425295.0
411471,598159.0,1610946.0,122682.0
411472,934494.0,1306886.0,86368.0
411473,768482.0,1540360.0,109406.0
411474,492520.0,1703979.0,68975.0
411475,527832.0,1387893.0,85781.0
411476,125676.0,968240.0,295457.0
411477,339387.0,1022427.0,169286.0
411478,443919.0,1263907.0,46776.0
411479,297869.0,1345319.0,72085.0
411480,156056.0,923392.0,198541.0
