epoch,bucket,eth
254470,chronic,56532.0
254470,desynced,32.0
254470,silent,37344.0
254470,uncollected,360542.0
254470,wrong-target,64.0
254471,chronic,55988.0
254471,desynced,680185.0
254471,silent,71104.0
254471,uncollected,57440.0
254471,wrong-target,56992.0
254472,chronic,56276.0
254472,desynced,10016.0
254472,silent,849721.0
254472,uncollected,5472.0
254472,wrong-target,3424.0
254473,chronic,56244.0
254473,desynced,3744.0
254473,silent,686553.0
254473,uncollected,42688.0
254474,chronic,55956.0
254474,desynced,3872.0
254474,silent,676409.0
254474,uncollected,22240.0
254474,wrong-target,11008.0
254475,chronic,56116.0
254475,desynced,6240.0
254475,silent,687929.0
254475,uncollected,31584.0
254475,wrong-target,128.0
254476,chronic,55828.0
254476,desynced,4767.0
254476,silent,682330.0
254476,uncollected,9120.0
254476,wrong-target,33696.0
254477,chronic,56020.0
254477,desynced,2784.0
254477,silent,666937.0
254477,uncollected,60000.0
254477,wrong-target,2208.0
254478,chronic,55732.0
254478,desynced,2112.0
254478,silent,635193.0
254478,uncollected,24416.0
254478,wrong-target,64.0
254479,chronic,55892.0
254479,desynced,1408.0
254479,silent,582521.0
254479,uncollected,1856.0
254479,wrong-target,416.0
254480,chronic,55700.0
254480,desynced,544.0
254480,silent,538617.0
254480,uncollected,11519.0
254480,wrong-target,128.0
254481,chronic,55700.0
254481,desynced,320.0
254481,silent,443577.0
254481,uncollected,5824.0
254481,wrong-target,224.0
254482,chronic,55796.0
254482,desynced,288.0
254482,silent,361657.0
254482,uncollected,2208.0
254483,chronic,55412.0
254483,desynced,192.0
254483,silent,352985.0
254483,uncollected,35871.0
254483,wrong-target,7200.0
254484,chronic,55764.0
254484,desynced,224.0
254484,silent,337881.0
254484,uncollected,16768.0
254484,wrong-target,4192.0
254485,chronic,55828.0
254485,desynced,192.0
254485,silent,336761.0
254485,uncollected,22912.0
254485,wrong-target,87328.0
254486,chronic,55668.0
254486,desynced,480.0
254486,silent,331865.0
254486,uncollected,10880.0
254486,wrong-target,34176.0
254487,chronic,55572.0
254487,desynced,128.0
254487,silent,315993.0
254487,uncollected,12064.0
254487,wrong-target,800.0
254488,chronic,55764.0
254488,desynced,128.0
254488,silent,317497.0
254488,uncollected,25696.0
254488,wrong-target,25664.0
254489,chronic,55860.0
254489,desynced,128.0
254489,silent,317977.0
254489,uncollected,15360.0
254489,wrong-target,384.0
254490,chronic,55828.0
254490,desynced,64.0
254490,silent,314649.0
254490,uncollected,1120.0
254491,chronic,55796.0
254491,desynced,160.0
254491,silent,309849.0
254491,uncollected,6208.0
254492,chronic,55604.0
254492,desynced,64.0
254492,silent,315897.0
254492,uncollected,448.0
254492,wrong-target,5344.0
254493,chronic,55700.0
254493,desynced,128.0
254493,silent,308345.0
254493,uncollected,3744.0
254493,wrong-target,192.0
254494,chronic,55668.0
254494,desynced,256.0
254494,silent,305561.0
254494,uncollected,22112.0
254494,wrong-target,992.0
254495,chronic,55572.0
254495,desynced,64.0
254495,silent,302745.0
254495,uncollected,64.0
254496,chronic,55380.0
254496,desynced,288.0
254496,silent,307001.0
254496,uncollected,416.0
254497,chronic,55444.0
254497,silent,303449.0
254497,uncollected,36127.0
254497,wrong-target,768.0
254498,chronic,55700.0
254498,desynced,160.0
254498,silent,310489.0
254498,uncollected,3296.0
254499,chronic,55700.0
254499,desynced,320.0
254499,silent,301849.0
254499,uncollected,6912.0
254499,wrong-target,1952.0
254500,chronic,55700.0
254500,desynced,224.0
254500,silent,292409.0
254500,uncollected,7136.0
254501,chronic,55348.0
254501,desynced,384.0
254501,silent,280377.0
254501,uncollected,8448.0
254501,wrong-target,2112.0
254502,chronic,55604.0
254502,desynced,288.0
254502,silent,278713.0
254502,uncollected,6240.0
254502,wrong-target,24192.0
254503,chronic,55700.0
254503,desynced,96.0
254503,silent,296089.0
254503,uncollected,3968.0
254503,wrong-target,7328.0
254504,chronic,55604.0
254504,desynced,224.0
254504,silent,278969.0
254504,uncollected,5600.0
254504,wrong-target,128.0
254505,chronic,55380.0
254505,desynced,288.0
254505,silent,276793.0
254505,uncollected,39168.0
254505,wrong-target,32.0
254506,chronic,55572.0
254506,desynced,128.0
254506,silent,289593.0
254506,uncollected,83488.0
254506,wrong-target,50015.0
254507,chronic,55540.0
254507,desynced,256.0
254507,silent,282681.0
254507,uncollected,75360.0
254507,wrong-target,288.0
254508,chronic,56020.0
254508,desynced,96.0
254508,silent,287321.0
254508,uncollected,92736.0
254508,wrong-target,1472.0
