epoch,desynced_eth,silent_eth,uncollected_eth
254470,32.0,37344.0,360542.0
254471,680185.0,71104.0,57440.0
254472,10016.0,849721.0,5472.0
254473,3744.0,686553.0,42688.0
254474,3872.0,676409.0,22240.0
254475,6240.0,687929.0,31584.0
254476,4767.0,682330.0,9120.0
254477,2784.0,666937.0,60000.0
254478,2112.0,635193.0,24416.0
254479,1408.0,582521.0,1856.0
254480,544.0,538617.0,11519.0
254481,320.0,443577.0,5824.0
254482,288.0,361657.0,2208.0
254483,192.0,352985.0,35871.0
254484,224.0,337881.0,16768.0
254485,192.0,336761.0,22912.0
254486,480.0,331865.0,10880.0
254487,128.0,315993.0,12064.0
254488,128.0,317497.0,25696.0
254489,128.0,317977.0,15360.0
254490,64.0,314649.0,1120.0
254491,160.0,309849.0,6208.0
254492,64.0,315897.0,448.0
254493,128.0,308345.0,3744.0
254494,256.0,305561.0,22112.0
254495,64.0,302745.0,64.0
254496,288.0,307001.0,416.0
254497,,303449.0,36127.0
254498,160.0,310489.0,3296.0
254499,320.0,301849.0,6912.0
254500,224.0,292409.0,7136.0
254501,384.0,280377.0,8448.0
254502,288.0,278713.0,6240.0
254503,96.0,296089.0,3968.0
254504,224.0,278969.0,5600.0
254505,288.0,276793.0,39168.0
254506,128.0,289593.0,83488.0
254507,256.0,282681.0,75360.0
254508,96.0,287321.0,92736.0
254509,128.0,294201.0,43359.0
254510,64.0,277241.0,2943.0
254511,256.0,269209.0,32.0
254512,224.0,277337.0,12736.0
254513,224.0,266201.0,1888.0
254514,256.0,253497.0,12896.0
254515,,246457.0,26240.0
254516,,245241.0,5344.0
254517,64.0,240729.0,160.0
254518,96.0,251193.0,15200.0
254519,64.0,235577.0,
254520,128.0,239992.0,16096.0
254521,32.0,242809.0,2496.0
254522,32.0,266041.0,33504.0
254523,32.0,264505.0,21600.0
254524,64.0,265401.0,27680.0
254525,64.0,262041.0,34112.0
254526,96.0,260473.0,7968.0
254527,32.0,227993.0,74912.0
254528,32.0,230105.0,53727.0
254529,416.0,233753.0,47584.0
254530,1792.0,243257.0,35040.0
254531,64.0,254233.0,54432.0
254532,96.0,227289.0,149311.0
254533,64.0,221337.0,38144.0
254534,128.0,226201.0,66463.0
254535,352.0,262521.0,50624.0
254536,32.0,226809.0,25408.0
254537,96.0,219673.0,31584.0
254538,64.0,216313.0,64.0
254539,128.0,217785.0,64512.0
254540,,215609.0,29536.0
254541,192.0,216313.0,3744.0
254542,192.0,216217.0,5536.0
254543,32.0,216857.0,50336.0
254544,,215865.0,42016.0
254545,160.0,218393.0,47839.0
254546,96.0,222809.0,70400.0
254547,320.0,214649.0,2496.0
254548,192.0,217497.0,6400.0
254549,416.0,209785.0,3008.0
254550,32.0,215673.0,9056.0
254551,64.0,204281.0,36032.0
254552,32.0,202713.0,46367.0
254553,64.0,201081.0,6528.0
254554,192.0,204409.0,24448.0
254555,32.0,200761.0,15008.0
254556,96.0,201657.0,19328.0
254557,160.0,216537.0,10112.0
254558,64.0,245209.0,576.0
254559,576.0,243193.0,160.0
254560,,239929.0,608.0
254561,32.0,236153.0,168831.0
254562,160.0,236409.0,14848.0
254563,,235513.0,24672.0
254564,160.0,235481.0,96.0
254565,160.0,219481.0,2336.0
254566,64.0,215737.0,51456.0
254567,96.0,195129.0,32.0
254568,,191385.0,64032.0
254569,192.0,196889.0,10720.0
254570,32.0,187609.0,17664.0
254571,128.0,189017.0,41663.0
254572,64.0,196409.0,24576.0
254573,160.0,191097.0,24607.0
254574,128.0,193273.0,416.0
254575,96.0,182745.0,43616.0
254576,128.0,178425.0,9920.0
254577,96.0,180537.0,31520.0
254578,96.0,179833.0,11200.0
254579,192.0,180377.0,5920.0
254580,96.0,176505.0,11936.0
254581,32.0,174713.0,576.0
254582,192.0,175321.0,7424.0
254583,32.0,180665.0,25888.0
254584,608.0,182361.0,21792.0
254585,,177817.0,11008.0
254586,160.0,177241.0,8543.0
254587,128.0,195577.0,5536.0
254588,192.0,171257.0,39392.0
254589,128.0,172857.0,60991.0
254590,96.0,167513.0,28736.0
254591,64.0,168089.0,18016.0
254592,192.0,172505.0,53535.0
254593,64.0,178969.0,10240.0
254594,672.0,175993.0,24831.0
